config_id,controller,scenario_id,seed,person_delay_s,max_norm_wait,starvation_violations,ped_mean_wait_s,veh_mean_wait_s,phase_switches,clearance_share
efficiency__000,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__001,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__002,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__003,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__004,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__005,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__006,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__007,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__008,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__009,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__010,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__011,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__012,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__013,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__014,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__015,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__016,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__017,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__018,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__019,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__020,efficiency,K_HH,301,11.704839020628494,0.69,0.0,12.658119658119658,11.427184466019417,82.0,0.19555555555555557
efficiency__021,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__022,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__023,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__024,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__025,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__026,efficiency,K_HH,301,12.258338153074995,0.45,0.0,13.145299145299145,12.0,81.0,0.19777777777777777
efficiency__000,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__001,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__002,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__003,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__004,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__005,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__006,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__007,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__008,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__009,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__010,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__011,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__012,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__013,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__014,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__015,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__016,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__017,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__018,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
