all_red_s,backend,clearance_steps,collisions,config_fingerprint,controller,emergency_stops,fixed_cycle_s,fixed_splits_s,fixed_timing,mean_pedestrian_queue,mean_vehicle_queue,metric_window,pedestrian_phase_steps,pedestrian_served_virtual,pedestrian_unserved,pedestrian_wait_max_s,pedestrian_wait_mean_s,pedestrian_wait_p95_s,phase_switches,run_id,runner_version,scenario_id,scope_warning,seed,steps,sumo_scale,sumo_version,trace_count,vehicle_completed,vehicle_demand,vehicle_rate_per_s,vehicle_stop_time_all_mean_s,vehicle_stop_time_mean_s,vehicle_stopped_wait_max_s,vehicle_stopped_wait_mean_s,vehicle_stopped_wait_p95_s,vehicle_throughput_per_hour,vehicle_trip_time_mean_s,vehicle_unfinished,wall_time_s,yellow_s
1,sumo_traci_virtual_pedestrian,161,0,e96f69e7d02fe665caac56a04af057cf9d8b87b944eefd02a6376db6495d7f0b,efficiency,0,,,,0.5922222222222222,1.5677777777777777,evaluation period only (after warmup_s),270,59,0,29,8.033898305084746,25,74,sumo_actual__S1_balanced__efficiency__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,192,M,0.22,7.313432835820896,7.244791666666667,27.0,6.531958762886598,16.0,768.0,40.78125,9,8.478254177000053,3
1,sumo_traci_virtual_pedestrian,164,0,a840b446e569d519bd8d0e345221dd2d455edd91273f5f814eb58e18f4ca6959,efficiency,0,,,,0.7955555555555556,1.4044444444444444,evaluation period only (after warmup_s),246,73,0,27,9.219178082191782,21,70,sumo_actual__S1_balanced__efficiency__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,6.607843137254902,6.646464646464646,26.0,6.649460708782743,18.0,792.0,40.07575757575758,6,4.070726855999965,3
1,sumo_traci_virtual_pedestrian,164,0,78d92775fa7802b844dbe962bb5ba3011ea8f911f71c9f02f13f4f73e8be068e,efficiency,0,,,,0.7577777777777778,1.6688888888888889,evaluation period only (after warmup_s),240,64,0,39,9.796875,27,71,sumo_actual__S1_balanced__efficiency__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,197,M,0.22,7.810679611650485,7.9238578680203045,28.0,6.3487012987012985,16.0,788.0,41.34010152284264,9,7.080770226999903,3
1,sumo_traci_virtual_pedestrian,161,0,e01f9ff2dfa0d06ca7d7ccf5c7a5db1444d68c46df2e5d2b5ada91cba6d27637,efpb,0,,,,0.5611111111111111,1.4433333333333334,evaluation period only (after warmup_s),271,59,0,29,7.559322033898305,21,74,sumo_actual__S1_balanced__efpb__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,192,M,0.22,6.721393034825871,6.619791666666667,23.0,6.172904191616767,15.0,768.0,40.072916666666664,9,14.048897776999638,3
1,sumo_traci_virtual_pedestrian,164,0,3e1d1432927997f74f65944cd1d32d402c6d34214891c030faf8bd4fef581a89,efpb,0,,,,0.7655555555555555,1.4144444444444444,evaluation period only (after warmup_s),246,73,0,24,8.849315068493151,20,70,sumo_actual__S1_balanced__efpb__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,197,M,0.22,6.661764705882353,6.690355329949239,26.0,6.663101604278075,18.0,788.0,40.111675126903556,7,14.856531551999979,3
1,sumo_traci_virtual_pedestrian,164,0,4d4faba4bf095097d781bae1360d5d44bdc26adfb464a9451834dca4210cfc3f,efpb,0,,,,0.7433333333333333,1.551111111111111,evaluation period only (after warmup_s),243,64,0,39,9.59375,26,71,sumo_actual__S1_balanced__efpb__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,196,M,0.22,7.281553398058253,7.326530612244898,28.0,6.365156794425087,18.0,784.0,40.71938775510204,10,14.542554508000194,3
1,sumo_traci_virtual_pedestrian,153,0,f58d7decf31ec6b1970a072b5db05f328d517125c6525a27996835c80aed145e,equal_bargaining,0,,,,0.45444444444444443,1.768888888888889,evaluation period only (after warmup_s),284,59,0,25,5.932203389830509,14,73,sumo_actual__S1_balanced__equal_bargaining__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,199,M,0.22,8.341463414634147,8.447236180904522,36.0,7.496924969249693,19.0,796.0,42.11055276381909,6,14.856872069000019,3
1,sumo_traci_virtual_pedestrian,156,0,5769a9f9b4f4f5dd1cbe77e4a66eb79b54a5c6586acdf237df31dcae1e97d36c,equal_bargaining,0,,,,0.6288888888888889,1.69,evaluation period only (after warmup_s),265,68,2,26,7.114285714285714,19,72,sumo_actual__S1_balanced__equal_bargaining__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,194,M,0.22,8.019704433497537,7.814432989690721,33.0,7.953205128205128,21.0,776.0,41.01546391752577,9,13.914011974000005,3
1,sumo_traci_virtual_pedestrian,150,0,7f8685b8401b1739f10049d5f8f6dc5b0fa30f634f9d1de8b9e36742d4904e5d,equal_bargaining,0,,,,0.4411111111111111,1.8177777777777777,evaluation period only (after warmup_s),273,63,0,21,5.301587301587301,16,71,sumo_actual__S1_balanced__equal_bargaining__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,8.684466019417476,8.762626262626263,33.0,8.177553444180523,21.0,792.0,41.686868686868685,8,12.054154959000243,3
1,sumo_traci_virtual_pedestrian,168,0,1e576615045818bf078c56c675cea60f099803864fe696fc425c42ccbf63d1bb,fixed_time,0,37,"{""P_ALL"": 13, ""V_EW"": 14, ""V_NS"": 10}",demand_based,0.7055555555555556,1.6277777777777778,evaluation period only (after warmup_s),249,59,0,27,9.76271186440678,26,73,sumo_actual__S1_balanced__fixed_time__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,7.694174757281553,7.484848484848484,24.0,8.05537024683122,19.0,792.0,39.833333333333336,8,9.389437764999911,3
