all_red_s,backend,clearance_steps,collisions,config_fingerprint,controller,emergency_stops,fixed_cycle_s,fixed_splits_s,fixed_timing,mean_pedestrian_queue,mean_vehicle_queue,metric_window,pedestrian_phase_steps,pedestrian_served_virtual,pedestrian_unserved,pedestrian_wait_max_s,pedestrian_wait_mean_s,pedestrian_wait_p95_s,phase_switches,run_id,runner_version,scenario_id,scope_warning,seed,steps,sumo_scale,sumo_version,trace_count,vehicle_completed,vehicle_demand,vehicle_rate_per_s,vehicle_stop_time_all_mean_s,vehicle_stop_time_mean_s,vehicle_stopped_wait_max_s,vehicle_stopped_wait_mean_s,vehicle_stopped_wait_p95_s,vehicle_throughput_per_hour,vehicle_trip_time_mean_s,vehicle_unfinished,wall_time_s,yellow_s
0,sumo_traci_virtual_pedestrian,0,0,2fed3296005c341b580359085d0e2a99a33c8083e073af8ebc154e17e874e01a,efficiency,1,,,,0.29,0.8588888888888889,evaluation period only (after warmup_s),318,59,0,20,3.4237288135593222,15,81,sumo_actual__S1_balanced__efficiency__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,199,M,0.22,4.054726368159204,4.065326633165829,26.0,5.043804755944931,12.0,796.0,36.98994974874372,2,5.468571397999767,0
0,sumo_traci_virtual_pedestrian,0,0,0d5bf38752eaddb084ca9ddfa2f0e257f34f7c5565396c1a3b7cf450dd388670,efficiency,5,,,,0.3655555555555556,0.63,evaluation period only (after warmup_s),340,69,1,19,3.7142857142857144,10,80,sumo_actual__S1_balanced__efficiency__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,3.099009900990099,2.98989898989899,29.0,6.592400690846286,19.0,792.0,35.176767676767675,4,3.2728663210000377,0
0,sumo_traci_virtual_pedestrian,0,0,fd6668c06c85919c18be4990757612d76c13c14d1707fac1e76252c9e9392d1c,efficiency,3,,,,0.3411111111111111,0.8255555555555556,evaluation period only (after warmup_s),315,63,0,19,3.873015873015873,13,81,sumo_actual__S1_balanced__efficiency__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,196,M,0.22,3.8676470588235294,3.8010204081632653,19.0,5.028683181225554,13.0,784.0,36.32142857142857,8,7.343913687000168,0
0,sumo_traci_virtual_pedestrian,0,0,d7d93412377a75be8a526752f4fc17f85713334aca7d4cd11151e0a7afdf4c94,efpb,1,,,,0.3655555555555556,0.86,evaluation period only (after warmup_s),316,59,0,19,4.576271186440678,15,83,sumo_actual__S1_balanced__efpb__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,197,M,0.22,4.024875621890548,4.055837563451776,22.0,4.790668348045397,11.0,788.0,36.97969543147208,4,10.840230499999961,0
0,sumo_traci_virtual_pedestrian,0,0,45cc836ef117df2c7f523c5552988d002166f06658ef11e3cbd9e30131bcbccc,efpb,2,,,,0.34,0.5233333333333333,evaluation period only (after warmup_s),323,69,1,19,3.3857142857142857,10,79,sumo_actual__S1_balanced__efpb__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,199,M,0.22,2.5297029702970297,2.5376884422110555,20.0,5.23469387755102,14.0,796.0,34.552763819095475,3,11.852982515000349,0
0,sumo_traci_virtual_pedestrian,0,0,5d6b79b231c8327ec3bae8a09f29f78e9151aa346c595eef804c5b3ef21a0dfd,efpb,1,,,,0.35888888888888887,0.8977777777777778,evaluation period only (after warmup_s),307,64,0,18,4.1875,16,81,sumo_actual__S1_balanced__efpb__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,195,M,0.22,4.216748768472907,4.148717948717949,19.0,5.059808612440191,13.0,780.0,36.56410256410256,8,12.085095493000154,0
0,sumo_traci_virtual_pedestrian,0,0,e60151c7820fe3f46e29e32c674d6854810eafc22590ef1a66a89ce10c3a80b4,equal_bargaining,0,,,,0.22444444444444445,1.0055555555555555,evaluation period only (after warmup_s),339,59,0,9,2.4237288135593222,8,81,sumo_actual__S1_balanced__equal_bargaining__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,200,M,0.22,4.762376237623762,4.795,27.0,5.724468085106383,15.0,800.0,37.865,2,8.257532207999702,0
0,sumo_traci_virtual_pedestrian,0,0,c24ef6120748c3abdddb9ed94dae5252dd790c0ac563c83b95bc4969c2219913,equal_bargaining,2,,,,0.3111111111111111,0.6777777777777778,evaluation period only (after warmup_s),334,69,1,9,3.0142857142857142,9,81,sumo_actual__S1_balanced__equal_bargaining__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,3.3582089552238807,3.2222222222222223,30.0,6.555910543130991,19.0,792.0,35.59090909090909,3,11.690350880999631,0
0,sumo_traci_virtual_pedestrian,0,0,51bfe44f73b631aa048e4598bcec7bd0336394e09bf20a5203ed4f50c108e764,equal_bargaining,0,,,,0.2788888888888889,0.8977777777777778,evaluation period only (after warmup_s),324,63,0,18,2.984126984126984,9,80,sumo_actual__S1_balanced__equal_bargaining__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,200,M,0.22,4.384236453201971,4.42,31.0,6.200480192076831,17.0,800.0,37.0,3,10.285983295999813,0
0,sumo_traci_virtual_pedestrian,0,0,6a596802dcd6ecd2f3169507f4ba18f3c7d4ec8c4f37bbc912a5ee2fe2041372,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.07,3.2055555555555557,evaluation period only (after warmup_s),200,59,0,70,30.576271186440678,69,30,sumo_actual__S1_balanced__fixed_time__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,15.698564593301436,15.530303030303031,53.0,17.15472203616879,40.0,792.0,47.76262626262626,11,6.76096244900009,0
