backend,group,scenario,controller,runs,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio
surrogate,nominal,C_HH,efficiency,30,11.92857480505987,0.6573333333333333,13.788533401235801,11.481651205082848,0,0.9961035906412948,0.996724024396631
surrogate,nominal,C_HH,efpb,30,12.053569250730199,0.5546666666666666,16.32635264642434,11.015317584565052,0,0.9954094160596199,0.996890260749804
surrogate,nominal,C_HH,equal_bargaining,30,12.304898805620592,0.6436666666666667,11.495301713079437,12.505983902042235,0,0.9965353359261279,0.9963288009806301
surrogate,nominal,C_HH,fixed_time,30,12.707327562655134,0.31866666666666665,11.331392549643725,13.041485674654352,0,0.9984038412715351,0.9966335732326147
surrogate,nominal,C_HL,efficiency,30,8.341999389125583,0.6296666666666667,5.86064388251474,10.40086067934471,0,0.998252697712573,0.9973682025894509
surrogate,nominal,C_HL,efpb,30,8.25693330066346,0.485,7.16747689417771,9.159401469430065,0,0.9978373851840229,0.9981106012545253
surrogate,nominal,C_HL,equal_bargaining,30,8.295098034184717,0.5073333333333333,7.705818349398236,8.78791860049835,0,0.9973597235581031,0.9984744819614029
surrogate,nominal,C_HL,fixed_time,30,11.893496310847768,0.291,11.31788823539092,12.370763455888635,0,0.9986228745352848,0.9970011795154733
surrogate,nominal,C_HM,efficiency,30,10.987430086132234,0.5883333333333334,10.009017049062916,11.35921442446824,0,0.9971926725245503,0.9967912784969545
surrogate,nominal,C_HM,efpb,30,10.913500999486692,0.5293333333333333,11.716603666234752,10.617152463917796,0,0.9969772704757154,0.9963847239065213
surrogate,nominal,C_HM,equal_bargaining,30,10.915850267461215,0.5863333333333334,9.583646806052293,11.423472352516328,0,0.9964115676988009,0.9969467081609297
surrogate,nominal,C_HM,fixed_time,30,12.27593807973663,0.295,11.462918312517658,12.580766494044477,0,0.9982770276693748,0.9972783115007431
surrogate,nominal,C_LH,efficiency,30,10.461645202363604,1.1696666666666666,24.060520507514255,9.564207809969895,1.3,0.9941527685604209,0.9974791179028859
surrogate,nominal,C_LH,efpb,30,10.591273441213293,0.5666666666666667,22.99184299379915,9.765012928585817,0,0.9947765959879431,0.9971069791674663
surrogate,nominal,C_LH,equal_bargaining,30,10.959071416405846,0.5876666666666667,11.321484946453836,10.935115847478288,0,0.9981655345124569,0.9973522123649572
surrogate,nominal,C_LH,fixed_time,30,12.950242758162323,0.315,10.890118733096452,13.087671991351108,0,0.9984427230646455,0.9971291148601926
surrogate,nominal,C_LL,efficiency,30,7.671818516247291,0.46266666666666667,7.200574091306024,7.788019357307913,0,0.9972668099236394,0.9980275392603232
surrogate,nominal,C_LL,efpb,30,7.590232074297946,0.415,7.594248603204359,7.590633105500588,0,0.9975873227441522,0.9980275392603232
surrogate,nominal,C_LL,equal_bargaining,30,7.723131951184116,0.45666666666666667,6.06102594358345,8.126649243958994,0,0.9975873227441522,0.9980275392603232
surrogate,nominal,C_LL,fixed_time,30,11.92402764647662,0.29,10.292998291556994,12.318951744125947,0,0.9978544705587953,0.9972070045399823
surrogate,nominal,C_LM,efficiency,30,9.655753823134493,0.7836666666666667,15.272008470236795,9.08054016047185,0.1,0.9969362933655129,0.9974111582651339
surrogate,nominal,C_LM,efpb,30,9.619583037077522,0.5523333333333333,15.183384560063471,9.046268882699788,0,0.9975087704297331,0.9978231110031435
surrogate,nominal,C_LM,equal_bargaining,30,9.883780795138357,0.5266666666666666,8.773810025091684,10.005420111864792,0,0.999114479457519,0.997384222192547
