backend,group,comparison,metric,pairs,mean_diff,se,cells_efpb_lower,cells
surrogate,nominal,efpb - fixed_time,person_delay_s,270,-2.4188920813970785,0.0794532282580554,9,9
surrogate,nominal,efpb - fixed_time,max_norm_wait,270,0.21433333333333335,0.003789573876287958,0,9
surrogate,nominal,efpb - fixed_time,ped_mean_wait_s,270,2.268664079029217,0.3295577973497361,3,9
surrogate,nominal,efpb - fixed_time,veh_mean_wait_s,270,-3.0413810899354083,0.059894004556683735,9,9
surrogate,nominal,efpb - efficiency,person_delay_s,270,0.0003993866421325232,0.01902421415505988,5,9
surrogate,nominal,efpb - efficiency,max_norm_wait,270,-0.1897037037037037,0.012758561577198112,9,9
surrogate,nominal,efpb - efficiency,ped_mean_wait_s,270,0.9591960430621759,0.09385989370863802,2,9
surrogate,nominal,efpb - efficiency,veh_mean_wait_s,270,-0.39111424670146794,0.03133754555057496,8,9
surrogate,nominal,efpb - equal_bargaining,person_delay_s,270,-0.18974884328420813,0.02099379945865876,8,9
surrogate,nominal,efpb - equal_bargaining,max_norm_wait,270,-0.05233333333333333,0.006586078383460279,8,9
surrogate,nominal,efpb - equal_bargaining,ped_mean_wait_s,270,4.268415485431282,0.22592796304946172,1,9
surrogate,nominal,efpb - equal_bargaining,veh_mean_wait_s,270,-0.8889537792656675,0.04164538379831613,8,9
surrogate,robustness,efpb - fixed_time,person_delay_s,80,-1.4693993801799832,0.18353476953807704,5,8
surrogate,robustness,efpb - fixed_time,max_norm_wait,80,0.16687500000000002,0.010060880736920186,0,8
surrogate,robustness,efpb - fixed_time,ped_mean_wait_s,80,2.8354096516354867,0.43057983072438055,1,8
surrogate,robustness,efpb - fixed_time,veh_mean_wait_s,80,-2.419756313130817,0.15858060812362001,7,8
surrogate,robustness,efpb - efficiency,person_delay_s,80,0.18136582590859124,0.05374633482316278,2,8
surrogate,robustness,efpb - efficiency,max_norm_wait,80,-0.086125,0.012065871093840035,7,8
surrogate,robustness,efpb - efficiency,ped_mean_wait_s,80,1.7851497558936442,0.23395861082482694,1,8
surrogate,robustness,efpb - efficiency,veh_mean_wait_s,80,-0.21793922843158234,0.035015773058032225,7,8
surrogate,robustness,efpb - equal_bargaining,person_delay_s,80,-0.19676036853558654,0.04321190597966445,6,8
surrogate,robustness,efpb - equal_bargaining,max_norm_wait,80,-0.11137499999999999,0.018470592218408542,7,8
surrogate,robustness,efpb - equal_bargaining,ped_mean_wait_s,80,3.3095353985775784,0.24697521086147106,0,8
surrogate,robustness,efpb - equal_bargaining,veh_mean_wait_s,80,-0.9508652236346403,0.06698598991064919,7,8
surrogate,stress,efpb - fixed_time,person_delay_s,120,1.1271617284976094,0.7455662562340138,2,4
surrogate,stress,efpb - fixed_time,max_norm_wait,120,0.3184166666666667,0.08075779015014366,2,4
surrogate,stress,efpb - fixed_time,ped_mean_wait_s,120,-38.626744119986505,8.248556899943122,2,4
surrogate,stress,efpb - fixed_time,veh_mean_wait_s,120,12.190219369482705,2.6228851505034556,3,4
surrogate,stress,efpb - efficiency,person_delay_s,120,9.562383071383566,1.471804257358593,0,4
surrogate,stress,efpb - efficiency,max_norm_wait,120,0.3235,0.09026335961859526,3,4
surrogate,stress,efpb - efficiency,ped_mean_wait_s,120,4.888363985690551,3.6081091718808613,0,4
surrogate,stress,efpb - efficiency,veh_mean_wait_s,120,10.645081195010386,2.002816708940276,1,4
surrogate,stress,efpb - equal_bargaining,person_delay_s,120,-21.44528143314267,5.236341332330239,3,4
surrogate,stress,efpb - equal_bargaining,max_norm_wait,120,-4.220916666666667,0.755383711607797,4,4
surrogate,stress,efpb - equal_bargaining,ped_mean_wait_s,120,-201.4240899605265,39.54510229725161,3,4
surrogate,stress,efpb - equal_bargaining,veh_mean_wait_s,120,25.64302637133972,4.643393440500998,3,4
surrogate,all,efpb - fixed_time,person_delay_s,470,-1.3519008616423334,0.20928825178759403,16,21
surrogate,all,efpb - fixed_time,max_norm_wait,470,0.23282978723404257,0.020883465095162874,2,21
surrogate,all,efpb - fixed_time,ped_mean_wait_s,470,-8.076249406233304,2.265216984940906,6,21
surrogate,all,efpb - fixed_time,veh_mean_wait_s,470,0.9533466489465935,0.7348402556924721,19,21
surrogate,all,efpb - efficiency,person_delay_s,470,2.472559721344875,0.4210577471713645,7,21
surrogate,all,efpb - efficiency,max_norm_wait,470,-0.041042553191489355,0.026187306596155334,19,21
surrogate,all,efpb - efficiency,ped_mean_wait_s,470,2.1029757242152023,0.9239600848826087,3,21
surrogate,all,efpb - efficiency,veh_mean_wait_s,470,2.4561143798240925,0.5561027497167209,16,21
surrogate,all,efpb - equal_bargaining,person_delay_s,470,-5.617886785418518,1.3998631163480666,17,21
surrogate,all,efpb - equal_bargaining,max_norm_wait,470,-1.1267021276595743,0.20973627798421393,19,21
surrogate,all,efpb - equal_bargaining,ped_mean_wait_s,470,-48.412033579384094,10.883115966666722,4,21
surrogate,all,efpb - equal_bargaining,veh_mean_wait_s,470,5.874630694187798,1.2973684489938513,18,21
