backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,collisions,emergency_stops,ped_unserved,veh_unfinished
SUMO,nominal,C_LM,efpb,4003,5.818173943173943,0.36,8.794871794871796,5.482456140350878,0,0,0,1
SUMO,stress,T_SS,equal_bargaining,4005,260.9991628402547,28.48,1224.382541720154,23.724619810933003,0,0,609,24
SUMO,stress,T_HS,equal_bargaining,4010,61.04850886581239,8.95,330.9236641221374,26.434450572761985,0,0,99,29
SUMO,nominal,C_HM,efficiency,4005,8.230467381402846,0.41,8.232736572890026,8.22961104140527,0,0,0,9
SUMO,nominal,C_MH,equal_bargaining,4004,8.671235129652981,0.48,7.397379912663755,8.854115729421354,0,0,1,4
SUMO,nominal,C_LM,efficiency,4004,5.308694875915015,0.4,8.25,5.057934508816121,0,0,0,1
SUMO,nominal,C_HL,fixed_time,4005,9.200324976787373,0.27,11.62915601023018,7.18232044198895,0,0,0,0
SUMO,stress,T_OO,equal_bargaining,4002,425.8524407428439,35.95,1809.108635097493,20.771297278190172,0,0,1077,39
SUMO,nominal,C_HM,equal_bargaining,4006,8.262888764359765,0.39,7.114285714285714,8.687032418952619,0,0,3,10
SUMO,nominal,C_HL,efpb,4006,4.602267414679757,0.34,4.524675324675325,4.665745856353591,0,0,0,1
SUMO,stress,T_OO,equal_bargaining,4003,437.6937236407455,35.99,1808.6875,21.937346004927843,0,0,1120,48
SUMO,nominal,C_HM,efpb,4009,7.441829608938548,0.38,7.854591836734694,7.28625,0,0,0,10
SUMO,stress,T_SS,equal_bargaining,4009,256.8345556623337,28.4,1141.925245098039,26.691797845898922,0,0,628,26
SUMO,nominal,C_HM,efficiency,4010,7.9327460850111855,0.41,8.330788804071247,7.7819548872180455,0,0,6,9
SUMO,nominal,C_MH,efpb,4003,7.902633255468252,0.54,10.843971631205674,7.384740259740259,0,0,0,3
SUMO,stress,T_SH,fixed_time,4002,10.7273258239466,0.54,16.0,8.095934959349593,0,0,1,5
SUMO,nominal,C_MM,equal_bargaining,4007,7.755839133797371,0.49,6.07905138339921,8.16375,0,0,0,5
SUMO,nominal,C_ML,efficiency,4002,4.379848229342326,0.39,4.037344398340249,4.55524861878453,0,0,0,0
SUMO,nominal,C_LL,fixed_time,4010,7.967048213666319,0.27,11.00943396226415,7.281767955801105,0,0,0,0
SUMO,nominal,C_LH,fixed_time,4005,8.408544172542513,0.27,11.11111111111111,8.256305939788446,0,0,0,4
SUMO,nominal,C_HL,efpb,4004,4.607669973384951,0.47,4.786516853932584,4.472375690607735,0,0,0,3
SUMO,nominal,C_HM,fixed_time,4006,8.812210526315791,0.27,11.924675324675325,7.66,0,0,1,9
SUMO,nominal,C_LL,efficiency,4010,4.071106486298994,0.35,5.613207547169812,3.723756906077348,0,0,0,0
SUMO,nominal,C_LM,equal_bargaining,4004,5.196482770933761,0.34,6.511363636363637,5.084382871536524,0,0,0,1
SUMO,stress,T_SH,efficiency,4002,9.295355830270632,0.45,9.814536340852131,9.035830618892508,0,0,5,6
SUMO,nominal,C_HM,efficiency,4001,8.22589610204518,0.46,8.803867403314918,8.024968789013732,0,0,0,8
