backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio,jain
surrogate,nominal,C_HH,efficiency,1006,12.34727867552295,0.55,13.99746835443038,11.945512820512821,0,1.0,0.9967948717948718,0.9999974235436581
surrogate,nominal,C_HH,efficiency,1019,11.695327195327193,0.8,14.684065934065934,11.038461538461538,0,0.9972527472527473,0.9968602825745683,0.9999999612651754
surrogate,nominal,C_HH,efficiency,1004,12.166600059946049,0.53,13.151960784313726,11.914355628058727,0,0.9975490196078431,0.9942903752039152,0.999997323519124
surrogate,nominal,C_HH,efficiency,1029,11.80647162204073,0.55,13.535175879396984,11.358714043993231,0,0.992462311557789,0.9949238578680203,0.9999984659100354
surrogate,nominal,C_HH,efficiency,1015,12.399483737738771,0.61,15.737891737891738,11.660655737704918,0,0.9971509971509972,0.9967213114754099,0.9999999535584135
surrogate,nominal,C_HH,efficiency,1022,11.75845697329377,0.5,13.192708333333334,11.422222222222222,0,0.9947916666666666,0.9976190476190476,0.9999979862291767
surrogate,nominal,C_HH,efficiency,1012,11.909533993136717,0.75,13.83,11.432606941081517,0,0.9975,0.9975786924939467,0.9999999984442258
surrogate,nominal,C_HH,efficiency,1017,11.69210847044485,0.8,13.804232804232804,11.190359477124183,0,1.0,0.9983660130718954,0.9999993314301379
surrogate,nominal,C_HH,efficiency,1026,11.823009291637526,0.58,13.60759493670886,11.38430420711974,0,0.9974683544303797,0.9983818770226537,0.9999997905006904
surrogate,nominal,C_HH,efficiency,1024,11.695024313571391,0.62,13.403553299492385,11.28503562945368,0,1.0,0.997624703087886,0.9999985861367885
surrogate,nominal,C_HH,efficiency,1001,11.907099292510368,0.64,13.090487238979119,11.591967871485943,0,1.0,0.9975903614457832,0.9999985449084894
surrogate,nominal,C_HH,efficiency,1027,11.859822611887042,0.59,13.083756345177665,11.552238805970148,0,0.9898477157360406,0.9975124378109452,0.9999851258140048
surrogate,nominal,C_HH,efficiency,1011,11.860354430379747,0.64,13.327710843373493,11.47,0,0.9951807228915662,0.995,0.9999999917540386
surrogate,nominal,C_HH,efficiency,1013,11.760601289929408,0.59,12.460136674259681,11.559898045879354,0,0.9954441913439636,0.9957519116397621,0.9999999761172569
surrogate,nominal,C_HH,efficiency,1030,12.08207604103802,0.55,13.686015831134565,11.704361873990306,0,0.9973614775725593,0.9967689822294022,0.9999999117199218
surrogate,nominal,C_HH,efficiency,1016,12.016683841209087,0.66,13.25916870415648,11.704708699122106,0,0.9926650366748166,0.9984038308060654,0.9999916926000486
surrogate,nominal,C_HH,efficiency,1005,11.627806343226595,0.67,14.195054945054945,11.04386677497969,0,0.9945054945054945,0.9975629569455727,0.9999976443393739
surrogate,nominal,C_HH,efficiency,1020,12.326626862676232,0.53,14.279805352798054,11.81922760887428,0,0.9951338199513382,0.9983566146261298,0.9999973864198236
surrogate,nominal,C_HH,efficiency,1025,12.39349910125824,0.74,14.254278728606357,11.915986949429037,0,0.9975550122249389,0.9975530179445351,0.9999999999990009
surrogate,nominal,C_HH,efficiency,1014,11.706265991070087,0.82,13.900763358778626,11.167343623070675,0,1.0,0.9959382615759546,0.9999958587838672
surrogate,nominal,C_HH,efficiency,1018,12.306903828760928,0.97,15.155555555555555,11.677830940988835,0,0.9944444444444445,0.9960127591706539,0.9999993791874575
surrogate,nominal,C_HH,efficiency,1003,11.856526207605343,0.65,14.452777777777778,11.267213114754098,0,0.9944444444444445,0.9967213114754099,0.9999986924450778
surrogate,nominal,C_HH,efficiency,1021,11.677946442079781,0.64,14.517711171662125,11.032984714400644,0,0.997275204359673,0.995172968624296,0.9999988867613443
surrogate,nominal,C_HH,efficiency,1008,11.657097525906094,0.68,12.91062801932367,11.333333333333334,0,0.9879227053140096,0.9935117599351176,0.9999920436509672
surrogate,nominal,C_HH,efficiency,1002,11.74782866166601,0.74,12.621483375959079,11.538950715421304,0,1.0,0.9960254372019078,0.9999960349847571
surrogate,nominal,C_HH,efficiency,1010,11.773304244347482,0.81,14.81132075471698,11.088467614533965,0,0.9973045822102425,0.9960505529225908,0.9999996042273046
surrogate,nominal,C_HH,efficiency,1023,11.702354598510768,0.7,14.270676691729323,11.057283142389526,0,0.9899749373433584,0.9950900163666121,0.9999933602402165
surrogate,nominal,C_HH,efficiency,1009,12.076572157362897,0.65,13.545226130653266,11.7202852614897,0,0.9949748743718593,0.9976228209191759,0.9999982340499567
surrogate,nominal,C_HH,efficiency,1028,12.014841376562579,0.56,13.482142857142858,11.658889782783588,0,0.9948979591836735,0.998390989541432,0.9999969291198396
surrogate,nominal,C_HH,efficiency,1007,12.209738971149443,0.6,13.406649616368286,11.912469033856317,0,1.0,0.9975227085053675,0.9999984619512371
surrogate,nominal,C_HH,equal_bargaining,1006,12.500049568751859,0.75,12.460759493670887,12.509615384615385,0,1.0,0.9967948717948718,0.9999974235436581
surrogate,nominal,C_HH,equal_bargaining,1019,12.665132165132164,0.63,14.087912087912088,12.352433281004709,0,0.9945054945054945,0.9960753532182104,0.9999993780417645
