backend,multiplier,ped_rate,veh_rate,controller,seed,veh_completion_ratio,vehicle_throughput_per_hour,mean_vehicle_queue,vehicle_stop_time_mean_s,vehicle_stopped_wait_max_s,pedestrian_wait_max_s,ped_service_ratio,max_norm_wait,emergency_stops,collisions
sumo,1.0,0.15,0.44,fixed_time,303,1.0101010101010102,1600.0,3.56,8.785,25.0,36,1.1481481481481481,0.36,0,0
sumo,1.0,0.15,0.44,fixed_time,301,1.0126262626262625,1604.0,3.7711111111111113,9.197007481296758,26.0,35,1.162962962962963,0.35,0,0
sumo,1.0,0.15,0.44,efficiency,301,1.0025252525252526,1588.0,3.128888888888889,7.659949622166247,32.0,39,1.1481481481481481,0.39,0,0
sumo,1.0,0.15,0.44,efficiency,302,1.0025252525252526,1588.0,3.388888888888889,8.329974811083124,33.0,55,1.1333333333333333,0.55,0,0
sumo,1.0,0.15,0.44,efficiency,303,0.9949494949494949,1576.0,3.341111111111111,8.210659898477157,32.0,40,1.1111111111111112,0.4,0,0
sumo,1.0,0.15,0.44,fixed_time,302,1.0101010101010102,1600.0,4.051111111111111,9.88,36.0,29,1.1407407407407408,0.36,0,0
sumo,1.0,0.15,0.44,efpb,301,0.9924242424242424,1572.0,3.5755555555555554,8.773536895674301,37.0,40,1.1481481481481481,0.4,0,0
sumo,1.0,0.15,0.44,efpb,302,1.0126262626262625,1604.0,3.1555555555555554,8.037406483790523,28.0,30,1.125925925925926,0.3,0,0
sumo,1.0,0.15,0.44,efpb,303,1.0,1584.0,3.45,8.457070707070708,31.0,48,1.1111111111111112,0.48,0,0
sumo,1.5,0.22499999999999998,0.66,fixed_time,301,0.877104377104377,2084.0,19.62,34.71017274472169,36.0,58,1.1111111111111112,0.58,0,0
sumo,1.5,0.22499999999999998,0.66,fixed_time,302,0.8720538720538721,2072.0,20.49888888888889,36.075289575289574,37.0,62,1.071604938271605,0.62,0,0
sumo,1.5,0.22499999999999998,0.66,fixed_time,303,0.9006734006734006,2140.0,18.983333333333334,32.7588785046729,26.0,61,1.0913580246913581,0.61,0,0
sumo,1.5,0.22499999999999998,0.66,efficiency,301,0.9276094276094277,2204.0,17.42111111111111,28.644283121597095,32.0,62,1.0765432098765433,0.62,0,0
sumo,1.5,0.22499999999999998,0.66,efficiency,302,0.9276094276094277,2204.0,16.788888888888888,27.353901996370237,33.0,64,1.0172839506172842,0.64,0,0
sumo,1.5,0.22499999999999998,0.66,efficiency,303,0.8737373737373737,2076.0,21.34888888888889,37.8766859344894,35.0,99,1.08641975308642,0.99,0,0
sumo,1.5,0.22499999999999998,0.66,efpb,301,0.8973063973063973,2132.0,19.22888888888889,33.08255159474672,41.0,57,1.08641975308642,0.57,0,0
sumo,1.5,0.22499999999999998,0.66,efpb,302,0.9175084175084175,2180.0,17.92222222222222,30.20366972477064,39.0,54,1.0172839506172842,0.54,0,0
sumo,1.5,0.22499999999999998,0.66,efpb,303,0.8872053872053872,2108.0,20.31111111111111,33.74003795066414,55.0,57,1.0913580246913581,0.57,0,0
sumo,2.0,0.3,0.88,fixed_time,301,0.6704545454545454,2124.0,29.554444444444446,51.06403013182674,38.0,187,0.9222222222222223,1.87,0,0
sumo,2.0,0.3,0.88,fixed_time,302,0.6843434343434344,2168.0,30.45777777777778,53.04428044280443,38.0,154,0.9185185185185185,1.54,0,0
sumo,2.0,0.3,0.88,fixed_time,303,0.7032828282828283,2228.0,28.07888888888889,47.77558348294434,26.0,185,0.9222222222222223,1.85,0,0
sumo,2.0,0.3,0.88,efficiency,301,0.7045454545454546,2232.0,30.266666666666666,51.04659498207885,38.0,80,1.011111111111111,0.8,0,0
sumo,2.0,0.3,0.88,efficiency,302,0.7159090909090909,2268.0,31.49222222222222,51.783068783068785,36.0,81,1.0037037037037038,0.81,0,0
sumo,2.0,0.3,0.88,efficiency,303,0.6868686868686869,2176.0,30.684444444444445,50.911764705882355,46.0,85,1.0666666666666667,0.85,0,0
sumo,2.0,0.3,0.88,efpb,301,0.6704545454545454,2124.0,33.76777777777778,57.49152542372882,46.0,54,1.037037037037037,0.54,0,0
sumo,2.0,0.3,0.88,efpb,302,0.6755050505050505,2140.0,39.55888888888889,69.07663551401869,55.0,57,1.0444444444444445,0.57,0,0
sumo,2.0,0.3,0.88,efpb,303,0.6666666666666666,2112.0,36.873333333333335,61.47727272727273,55.0,55,1.0444444444444445,0.55,0,0
sumo,2.5,0.375,1.1,fixed_time,301,0.5727272727272726,2268.0,39.507777777777775,64.35802469135803,38.0,339,0.7377777777777778,3.39,0,0
sumo,2.5,0.375,1.1,fixed_time,302,0.5858585858585857,2320.0,39.044444444444444,62.425862068965515,36.0,301,0.7377777777777778,3.01,0,0
sumo,2.5,0.375,1.1,fixed_time,303,0.5757575757575757,2280.0,39.19222222222222,63.257894736842104,38.0,362,0.7377777777777778,3.62,0,0
sumo,2.5,0.375,1.1,efficiency,301,0.5191919191919191,2056.0,44.843333333333334,80.3988326848249,55.0,81,1.0044444444444445,0.81,0,0
sumo,2.5,0.375,1.1,efficiency,302,0.5303030303030303,2100.0,44.034444444444446,77.66095238095238,39.0,85,0.9925925925925926,0.85,0,0
