multiplier,controller,ped_rate,veh_rate,runs,veh_completion_ratio,vehicle_throughput_per_hour,mean_vehicle_queue,vehicle_stop_time_mean_s,vehicle_stopped_wait_max_s,pedestrian_wait_max_s,ped_service_ratio,max_norm_wait,emergency_stops,collisions
1.0,efficiency,0.15,0.44,3,1.0,1584.0,3.2862962962962965,8.066861443908843,32.333333333333336,44.666666666666664,1.1308641975308642,0.4466666666666667,0,0
1.0,efpb,0.15,0.44,3,1.0016835016835017,1586.6666666666667,3.3937037037037037,8.42267136217851,32.0,39.333333333333336,1.128395061728395,0.3933333333333333,0,0
1.0,fixed_time,0.15,0.44,3,1.010942760942761,1601.3333333333333,3.794074074074074,9.28733582709892,29.0,33.333333333333336,1.1506172839506172,0.35666666666666663,0,0
1.5,efficiency,0.22499999999999998,0.66,3,0.909652076318743,2161.3333333333335,18.51962962962963,31.291623684152245,33.333333333333336,75,1.0600823045267491,0.75,0,0
1.5,efpb,0.22499999999999998,0.66,3,0.9006734006734006,2140.0,19.154074074074074,32.34208642339383,45.0,56,1.0650205761316873,0.5599999999999999,0,0
1.5,fixed_time,0.22499999999999998,0.66,3,0.8832772166105499,2098.6666666666665,19.70074074074074,34.51478027489472,33.0,60.333333333333336,1.0913580246913581,0.6033333333333333,0,0
2.0,efficiency,0.3,0.88,3,0.7024410774410774,2225.3333333333335,30.814444444444444,51.24714282367666,40.0,82,1.0271604938271606,0.8200000000000001,0,0
2.0,efpb,0.3,0.88,3,0.6708754208754208,2125.3333333333335,36.733333333333334,62.681811221673414,52.0,55.333333333333336,1.0419753086419754,0.5533333333333333,0,0
2.0,fixed_time,0.3,0.88,3,0.686026936026936,2173.3333333333335,29.363703703703706,50.6279646858585,34.0,175.33333333333334,0.9209876543209877,1.7533333333333334,0,0
2.5,efficiency,0.375,1.1,3,0.5222222222222221,2068.0,44.346296296296295,77.87865231359243,43.666666666666664,80,1.0064197530864196,0.8,0,0
2.5,efpb,0.375,1.1,3,0.4858585858585858,1924.0,46.21592592592592,87.04765274828969,59.666666666666664,62,1.0380246913580247,0.63,0,0
2.5,fixed_time,0.375,1.1,3,0.578114478114478,2289.3333333333335,39.24814814814815,63.34726049905522,37.333333333333336,334,0.7377777777777778,3.34,0,0
3.0,efficiency,0.44999999999999996,1.32,3,0.2609427609427609,1240.0,57.70074074074074,62.95476696238911,402.3333333333333,65.33333333333333,0.9983539094650207,4.053333333333333,0,0
3.0,efpb,0.44999999999999996,1.32,3,0.24803591470258138,1178.6666666666667,57.552592592592596,70.13937346437346,394.3333333333333,61,0.9744855967078191,4.01,0,0
3.0,fixed_time,0.44999999999999996,1.32,3,0.47895622895622897,2276.0,39.763703703703705,66.06391041030457,35.0,475.3333333333333,0.6148148148148149,4.753333333333333,0,0
