backend,multiplier,ped_rate,veh_rate,controller,seed,ped_service_ratio,veh_service_ratio,max_norm_wait,ped_p95_wait_s,veh_p95_wait_s,veh_throughput_h,starvation_violations
surrogate,0.5,0.075,0.22,fixed_time,301,1.0,0.9955156950672646,0.29,25.0,27.0,912.0,0
surrogate,0.5,0.075,0.22,fixed_time,302,1.0,0.9800995024875622,0.29,26.0,28.0,796.0,0
surrogate,0.5,0.075,0.22,fixed_time,303,1.0,1.0,0.29,24.0,28.0,896.0,0
surrogate,0.5,0.075,0.22,fixed_time,304,0.9807692307692307,0.9848484848484849,0.29,24.0,28.0,796.0,0
surrogate,0.5,0.075,0.22,fixed_time,305,0.9864864864864865,0.9883720930232558,0.29,25.0,27.0,692.0,0
surrogate,0.5,0.075,0.22,efficiency,301,0.9552238805970149,0.9955156950672646,0.48,25.0,29.0,904.0,0
surrogate,0.5,0.075,0.22,efficiency,302,1.0,0.9850746268656716,0.58,42.0,28.0,804.0,0
surrogate,0.5,0.075,0.22,efficiency,303,1.0,1.0,0.64,31.0,28.0,888.0,0
surrogate,0.5,0.075,0.22,efficiency,304,0.9230769230769231,0.9949494949494949,0.51,34.0,28.0,800.0,0
surrogate,0.5,0.075,0.22,efficiency,305,1.0,0.9825581395348837,0.51,26.0,28.0,676.0,0
surrogate,0.5,0.075,0.22,equal_bargaining,301,1.0,0.9820627802690582,0.53,30.0,29.0,892.0,0
surrogate,0.5,0.075,0.22,equal_bargaining,302,1.0,0.9950248756218906,0.56,23.0,27.0,808.0,0
surrogate,0.5,0.075,0.22,equal_bargaining,303,1.0,0.9863013698630136,0.65,26.0,28.0,876.0,0
surrogate,0.5,0.075,0.22,equal_bargaining,304,1.0,0.9797979797979798,0.54,21.0,26.0,788.0,0
surrogate,0.5,0.075,0.22,equal_bargaining,305,1.0,0.9883720930232558,0.5,13.0,27.0,684.0,0
surrogate,0.5,0.075,0.22,efpb,301,0.9402985074626866,0.9955156950672646,0.51,35.0,24.0,904.0,0
surrogate,0.5,0.075,0.22,efpb,302,1.0,0.9900497512437811,0.53,39.0,26.0,800.0,0
surrogate,0.5,0.075,0.22,efpb,303,1.0,1.0,0.42,29.0,27.0,888.0,0
surrogate,0.5,0.075,0.22,efpb,304,0.9230769230769231,0.9949494949494949,0.51,37.0,25.0,804.0,0
surrogate,0.5,0.075,0.22,efpb,305,1.0,0.9825581395348837,0.41,32.0,25.0,676.0,0
surrogate,1.0,0.15,0.44,fixed_time,301,1.0,0.9774436090225563,0.39,26.0,29.0,1584.0,0
surrogate,1.0,0.15,0.44,fixed_time,302,0.993103448275862,0.9870801033591732,0.38,26.0,28.0,1564.0,0
surrogate,1.0,0.15,0.44,fixed_time,303,0.9931972789115646,0.9778869778869779,0.4,25.0,28.0,1620.0,0
surrogate,1.0,0.15,0.44,fixed_time,304,0.975609756097561,0.9829683698296837,0.35,26.0,28.0,1640.0,0
surrogate,1.0,0.15,0.44,fixed_time,305,0.9928057553956835,0.9822784810126582,0.37,26.0,28.0,1584.0,0
surrogate,1.0,0.15,0.44,efficiency,301,0.9790209790209791,0.9849624060150376,0.66,29.0,27.0,1600.0,0
surrogate,1.0,0.15,0.44,efficiency,302,0.9724137931034482,0.9896640826873385,0.5,39.0,27.0,1560.0,0
surrogate,1.0,0.15,0.44,efficiency,303,0.9727891156462585,0.9901719901719902,0.42,35.0,28.0,1620.0,0
surrogate,1.0,0.15,0.44,efficiency,304,0.991869918699187,0.9829683698296837,0.55,39.0,28.0,1644.0,0
surrogate,1.0,0.15,0.44,efficiency,305,0.9856115107913669,0.9873417721518988,0.53,38.0,27.0,1568.0,0
surrogate,1.0,0.15,0.44,equal_bargaining,301,0.993006993006993,0.9849624060150376,0.53,34.0,30.0,1600.0,0
surrogate,1.0,0.15,0.44,equal_bargaining,302,0.993103448275862,0.9844961240310077,0.48,27.0,29.0,1536.0,0
surrogate,1.0,0.15,0.44,equal_bargaining,303,0.9795918367346939,0.995085995085995,0.7,49.0,30.0,1648.0,0
surrogate,1.0,0.15,0.44,equal_bargaining,304,0.975609756097561,0.9805352798053528,0.52,39.0,31.0,1632.0,0
surrogate,1.0,0.15,0.44,equal_bargaining,305,0.9784172661870504,0.9873417721518988,0.43,34.0,28.0,1584.0,0
