multiplier,controller,ped_rate,veh_rate,runs,ped_service_ratio,veh_service_ratio,max_norm_wait,ped_p95_wait_s,veh_p95_wait_s,veh_throughput_h,starvation_violations
0.5,efficiency,0.075,0.22,5,0.9756601607347876,0.991619591283463,0.544,31.6,28.2,814.4,0
0.5,efpb,0.075,0.22,5,0.972675086107922,0.9926146161590849,0.476,34.4,25.4,814.4,0
0.5,equal_bargaining,0.075,0.22,5,1.0,0.9863118197150396,0.556,22.6,27.4,809.6,0
0.5,fixed_time,0.075,0.22,5,0.9934511434511435,0.9897671550853134,0.29,24.8,27.6,818.4,0
1.0,efficiency,0.15,0.44,5,0.9803410634522479,0.9870217241711897,0.532,36.0,27.4,1598.4,0
1.0,efpb,0.15,0.44,5,0.982263545418848,0.9859746984113504,0.53,47.2,27.8,1598.4,0
1.0,equal_bargaining,0.15,0.44,5,0.983945860060432,0.9864843154178584,0.532,36.6,29.6,1600.0,0
1.0,fixed_time,0.15,0.44,5,0.9909432477361342,0.9815315082222099,0.378,25.8,28.2,1598.4,0
1.5,efficiency,0.22499999999999998,0.66,5,0.9747036534177128,0.9861026911306703,0.5740000000000001,39.4,30.6,2381.6,0
1.5,efpb,0.22499999999999998,0.66,5,0.9668575580223253,0.9888655388147215,0.552,50.6,35.4,2374.4,0
1.5,equal_bargaining,0.22499999999999998,0.66,5,0.9589159327993935,0.9793683742702572,1.302,102.8,44.6,2373.6,12.2
1.5,fixed_time,0.22499999999999998,0.66,5,0.9921078434434032,0.98285925766962,0.534,31.6,34.0,2383.2,0
2.0,efficiency,0.3,0.88,5,0.9386953607476883,0.9158326645288223,1.796,79.6,129.0,2979.2,72
2.0,efpb,0.3,0.88,5,0.6624280891649461,0.9636193561580023,3.326,312.6,57.4,3136.8,179.8
2.0,equal_bargaining,0.3,0.88,5,0.8308783440858536,0.9103303765581414,3.538,324.8,169.0,2966.4,314.6
2.0,fixed_time,0.3,0.88,5,0.8685432024432359,0.924752714346797,1.534,133.8,105.4,3022.4,163.4
2.5,efficiency,0.375,1.1,5,0.9396156637350198,0.6324257499313395,6.43,67.0,557.6,2650.4,424.8
2.5,efpb,0.375,1.1,5,0.945343729670312,0.6243542633965111,6.494,52.6,572.4,2644.0,426
2.5,equal_bargaining,0.375,1.1,5,0.0,0.968268401182961,8.99,851.8,47.6,3919.2,303.4
2.5,fixed_time,0.375,1.1,5,0.6646151327228427,0.7446240305024712,2.956,274.2,246.6,3120.0,904
3.0,efficiency,0.44999999999999996,1.32,5,0.9483226087372032,0.4674900885470179,8.99,56.4,809.2,2436.8,549
3.0,efpb,0.44999999999999996,1.32,5,0.7435031547108225,0.5649172093302935,7.514,230.8,659.6,2900.8,651.6
3.0,equal_bargaining,0.44999999999999996,1.32,5,0.0,0.9500099185113527,8.978,849.8,78.0,4674.4,356.2
3.0,fixed_time,0.44999999999999996,1.32,5,0.5570502970775387,0.5969458030201666,4.072,378.4,360.0,3120.0,1322.6
3.5,efficiency,0.525,1.54,5,0.9547685552595542,0.3525407910048655,8.986,51.4,809.8,2097.6,1131.4
3.5,efpb,0.525,1.54,5,0.5520778818761524,0.5253421800821169,7.49,390.4,660.2,3122.4,1062.6
3.5,equal_bargaining,0.525,1.54,5,0.0,0.9079592281116253,8.996,857.4,125.0,5256.8,634.4
3.5,fixed_time,0.525,1.54,5,0.4586145998384085,0.4978168814696417,5.084,473.2,441.6,3120.0,1614
4.0,efficiency,0.6,1.76,5,0.9600670661958007,0.24622588337852913,8.994,46.4,808.2,1739.2,1393.8
4.0,efpb,0.6,1.76,5,0.7900942769153281,0.3165059338952976,8.692,186.6,780.2,2218.4,1346
4.0,equal_bargaining,0.6,1.76,5,0.0,0.8261808897269449,8.99,856.0,231.0,5527.2,1167.2
4.0,fixed_time,0.6,1.76,5,0.38710500653311714,0.42019448986722313,5.654,532.8,505.0,3120.0,1884.2
